smiles,ic50_nM,MW,LogP,HBD,HBA,Lipinski_violations,TPSA,RotBonds,CNS_violations
CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,4500.0,349.22100000000006,3.7341000000000015,1.0,4.0,0.0,59.81,3.0,0.0
Cc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,480.0,411.2920000000002,5.354320000000003,1.0,4.0,1.0,59.81,3.0,1.0
COc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,30.0,330.18500000000006,4.1445000000000025,1.0,4.0,0.0,47.040000000000006,3.0,1.0
O=C1NC(=O)c2cc(Nc3ccc(F)cc3)c(Nc3ccc(F)cc3)cc21,700.0,365.33900000000006,4.335600000000002,3.0,4.0,0.0,70.23,4.0,1.0
COc1ccc(Nc2cc3c(cc2Nc2ccccc2)C(=O)NC3=O)cc1,2000.0,359.3850000000001,4.066000000000002,3.0,5.0,0.0,79.46000000000001,5.0,1.0
CC(=O)N(c1ccccc1)c1cc2c(cc1Nc1ccccc1)C(=O)NC2=O,50000.0,371.3960000000001,3.998400000000002,2.0,4.0,0.0,78.51,4.0,0.0
CN1C(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C1=O,50000.0,343.38600000000014,4.399600000000002,2.0,4.0,0.0,61.440000000000005,4.0,1.0
CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,4400.0,377.27500000000015,4.514300000000003,1.0,4.0,0.0,59.81,5.0,1.0
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,7.6,316.16200000000003,3.113100000000001,2.0,5.0,0.0,76.72,2.0,0.0
CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.008,330.189,3.572600000000002,2.0,5.0,0.0,62.730000000000004,3.0,0.0
CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,7600.0,401.8460000000001,3.3046000000000015,3.0,6.0,0.0,94.14,2.0,1.0
